,Date Time,Name,Training Time,Dataset Size,Train Set,Seed,Frame Size,Hop Length,Accuracy,Precision,Recall,F1,Epochs,Hidden Dimensions,Hidden Layers,Dropout,Learning Rate,Gamma
26,21/04/2023 14:51:23,dsc_dataset-guided_f1,23.1870152950287,21596,0.9,4052,128,32,0.823529422283173,0.84375,0.823529422283173,0.820463597774506,28,8,5,0.1,5e-06,0.9
27,21/04/2023 14:53:03,dsc_dataset-guided_accuracy,22.6012887954712,21596,0.9,4052,128,32,0.75,0.747767865657806,0.75,0.719191908836365,27,8,5,0.1,5e-06,0.9
28,21/04/2023 14:54:03,dsc_dataset-guided_accuracy,24.2869670391083,21596,0.9,4052,128,32,0.794117629528046,0.789299249649048,0.794117629528046,0.779286742210388,29,8,5,0.1,5e-06,0.9
29,21/04/2023 14:55:47,dsc_dataset-guided_accuracy,19.3207268714905,21596,0.9,4052,64,32,0.808823525905609,0.80978262424469,0.808823525905609,0.801209688186646,23,8,5,0.1,5e-06,0.9
30,21/04/2023 14:56:33,dsc_dataset-guided_accuracy,20.8218190670013,21596,0.9,4052,64,32,0.779411733150482,0.781055927276611,0.779411733150482,0.772580623626709,25,8,5,0.1,5e-06,0.9
31,21/04/2023 14:58:36,dsc_dataset-guided_accuracy,19.3749089241028,21596,0.9,4052,64,32,0.735294103622437,0.728835940361023,0.735294103622437,0.713193774223328,23,8,5,0.1,5e-06,0.9
32,21/04/2023 15:02:02,dsc_dataset-guided_accuracy,29.039190530777,21596,0.9,4052,128,32,0.867647051811218,0.872023820877075,0.867647051811218,0.865179777145386,35,8,5,0.1,5e-06,0.9
33,21/04/2023 15:03:21,dsc_dataset-guided_accuracy,24.0116021633148,21596,0.9,4052,128,16,0.845588207244873,0.851449310779572,0.845588207244873,0.834436774253845,14,8,5,0.1,5e-06,0.9
34,21/04/2023 15:06:26,dsc_dataset-guided_accuracy,27.343222618103,21596,0.9,4052,128,16,0.845588207244873,0.851449310779572,0.845588207244873,0.834436774253845,16,8,5,0.1,5e-06,0.9
35,21/04/2023 15:09:31,dsc_dataset-guided_accuracy,33.3467824459076,21596,0.9,4052,256,16,0.860294103622437,0.87994259595871,0.860294103622437,0.853304147720337,20,8,5,0.1,5e-06,0.9
36,21/04/2023 15:10:36,dsc_dataset-guided_accuracy,60.9072773456574,21596,0.9,4052,256,16,0.867647111415863,0.876696765422821,0.867647111415863,0.864831447601318,37,8,5,0.1,5e-06,0.9
37,21/04/2023 15:11:51,dsc_dataset-guided_accuracy,46.4063510894775,21596,0.9,4052,256,16,0.852941155433655,0.866666674613953,0.852941155433655,0.847672641277313,28,8,5,0.1,5e-06,0.9
38,21/04/2023 15:12:41,dsc_dataset-guided_accuracy,44.8156125545502,21596,0.9,4052,256,16,0.875,0.879801630973816,0.875,0.870193004608154,27,8,5,0.1,5e-06,0.9
39,21/04/2023 15:13:25,dsc_dataset-guided_accuracy,38.18141746521,21596,0.9,4052,256,16,0.889705896377564,0.905467748641968,0.889705896377564,0.885516464710236,23,8,5,0.1,5e-06,0.9
40,21/04/2023 15:14:23,dsc_dataset-guided_accuracy,41.6323847770691,21596,0.9,4052,256,16,0.860294103622437,0.875540554523468,0.860294103622437,0.854752957820892,25,8,5,0.1,5e-06,0.9
41,21/04/2023 15:15:09,dsc_dataset-guided_accuracy,35.1357884407043,21596,0.9,4052,256,16,0.882352948188782,0.89572012424469,0.882352948188782,0.878382980823517,21,8,5,0.1,5e-06,0.9
42,21/04/2023 15:16:08,dsc_dataset-guided_accuracy,48.23792719841,21596,0.9,4052,256,16,0.889705896377564,0.901076436042786,0.889705896377564,0.886479020118713,29,8,5,0.1,5e-06,0.9
43,21/04/2023 15:17:22,dsc_dataset-guided_accuracy,32.0342574119568,21596,0.9,4052,256,16,0.838235259056091,0.863150596618652,0.838235259056091,0.815056681632996,19,8,5,0.1,5e-06,0.9
44,21/04/2023 15:19:18,dsc_dataset-guided_accuracy,39.9453999996185,21596,0.9,4052,256,16,0.852941155433655,0.868607938289642,0.852941155433655,0.846782267093658,24,8,5,0.1,5e-06,0.9
45,21/04/2023 15:21:01,dsc_dataset-guided_accuracy,79.7490711212158,21596,0.9,4052,256,16,0.867647051811218,0.877380907535553,0.867647051811218,0.856567084789276,45,8,5,0.1,5e-06,0.9
46,21/04/2023 15:23:53,dsc_dataset-guided_accuracy,52.9489936828613,21596,0.9,4052,256,16,0.867647111415863,0.876696765422821,0.867647111415863,0.864831447601318,32,8,5,0.1,5e-06,0.9
47,21/04/2023 15:25:46,dsc_dataset-guided_accuracy,44.9205470085144,21596,0.9,4052,256,16,0.8970587849617,0.902901768684387,0.8970587849617,0.895502150058746,27,8,5,0.1,5e-06,0.9
48,21/04/2023 15:28:44,dsc_dataset-guided_accuracy,80.3678529262543,21596,0.9,4052,256,16,0.926470637321472,0.928634226322174,0.926470637321472,0.925767123699188,48,8,5,0.1,5e-06,0.9
49,21/04/2023 15:33:39,dsc_dataset-guided_accuracy,41.6850452423096,21596,0.9,4052,256,16,0.875,0.884242415428162,0.875,0.871900260448456,25,8,5,0.1,5e-06,0.9
50,21/04/2023 15:36:24,dsc_dataset-guided_accuracy,43.3155887126923,21596,0.9,4052,256,16,0.875,0.882836997509003,0.875,0.872710645198822,26,8,5,0.1,5e-06,0.9
51,21/04/2023 15:37:40,dsc_dataset-guided_accuracy,48.1813435554504,21596,0.9,4052,256,16,0.83088231086731,0.837784051895142,0.83088231086731,0.825619280338287,29,8,5,0.1,5e-06,0.9
