,Date Time,Name,Training Time,Rows,Seed,Training Accuracy,Validation Accuracy,Epochs,Hidden Dimensions,Hidden Layers,Dropout,Learning Rate,Gamma
38,01/04/2023 23:00:39,dsc_torch_nn_rms,0.1629948616027832,4000,4052,0.0025,0.0025,2,8,0,0.2,0.01,0.9
39,01/04/2023 23:01:17,dsc_torch_nn_rms,1.9619741439819336,4000,4052,0.002734375,0.0025,10,8,5,0.2,0.01,0.9
40,01/04/2023 23:01:29,dsc_torch_nn_rms,1.961378574371338,4000,4052,0.002421875,0.0025,10,8,5,0.2,0.0001,0.9
41,01/04/2023 23:02:36,dsc_torch_nn_rms,1.8424787521362305,4000,4052,0.0025,0.0025,10,8,5,0.2,0.0001,0.9
42,01/04/2023 23:05:08,dsc_torch_nn_rms,0.98637056350708,4000,4052,0.00109375,0.000625,10,8,5,0.2,0.0001,0.9
43,01/04/2023 23:05:28,dsc_torch_nn_rms,1.983724594116211,4000,4052,0.001328125,0.0009375,10,8,5,0.2,0.0001,0.9
44,01/04/2023 23:06:02,dsc_torch_nn_rms,3.833405494689941,4000,4052,0.0015476191043853,0.0015625,10,8,5,0.2,0.0001,0.9
45,01/04/2023 23:10:40,dsc_torch_nn_rms,96.21149373054504,4000,4052,0.0037698411941528,0.0040625,250,8,5,0.2,0.0001,0.9
46,01/04/2023 23:34:03,dsc_torch_nn_rms_overfit_test,4.277292728424072,2000,4052,0.25,0.25,10,8,5,0.2,0.0001,0.9
47,01/04/2023 23:37:53,dsc_torch_nn_rms_overfit_test,0.0683560371398925,2000,4052,1.0,0.25,10,8,5,0.2,0.0001,0.9
48,01/04/2023 23:38:12,dsc_torch_nn_rms_overfit_test,0.1272602081298828,2000,4052,0.4,0.3125,10,8,5,0.2,0.0001,0.9
49,01/04/2023 23:38:16,dsc_torch_nn_rms_overfit_test,0.1363739967346191,2000,4052,0.2,0.25,10,8,5,0.2,0.0001,0.9
50,01/04/2023 23:38:21,dsc_torch_nn_rms_overfit_test,0.1272189617156982,2000,4052,0.4,0.28125,10,8,5,0.2,0.0001,0.9
51,01/04/2023 23:38:21,dsc_torch_nn_rms_overfit_test,0.1255569458007812,2000,4052,0.4,0.25,10,8,5,0.2,0.0001,0.9
52,01/04/2023 23:38:22,dsc_torch_nn_rms_overfit_test,0.1237890720367431,2000,4052,0.4,0.25,10,8,5,0.2,0.0001,0.9
53,01/04/2023 23:38:22,dsc_torch_nn_rms_overfit_test,0.1237010955810546,2000,4052,0.2,0.25,10,8,5,0.2,0.0001,0.9
54,01/04/2023 23:38:23,dsc_torch_nn_rms_overfit_test,0.1251380443572998,2000,4052,0.4,0.25,10,8,5,0.2,0.0001,0.9
55,01/04/2023 23:38:57,dsc_torch_nn_rms_overfit_test,0.067422866821289,2000,4052,0.0,0.25,10,8,5,0.2,0.0001,0.9
56,01/04/2023 23:38:57,dsc_torch_nn_rms_overfit_test,0.0658235549926757,2000,4052,0.0,0.25,10,8,5,0.2,0.0001,0.9
57,01/04/2023 23:39:03,dsc_torch_nn_rms_overfit_test,0.0689854621887207,2000,4052,0.0,0.25,10,8,5,0.2,0.0001,0.9
58,01/04/2023 23:39:04,dsc_torch_nn_rms_overfit_test,0.066779613494873,2000,4052,0.0,0.25,10,8,5,0.2,0.0001,0.9
59,01/04/2023 23:39:04,dsc_torch_nn_rms_overfit_test,0.0678498744964599,2000,4052,0.0,0.25,10,8,5,0.2,0.0001,0.9
60,01/04/2023 23:39:05,dsc_torch_nn_rms_overfit_test,0.0663926601409912,2000,4052,0.0,0.25,10,8,5,0.2,0.0001,0.9
61,01/04/2023 23:39:05,dsc_torch_nn_rms_overfit_test,0.0660688877105712,2000,4052,1.0,0.3125,10,8,5,0.2,0.0001,0.9
62,01/04/2023 23:39:07,dsc_torch_nn_rms_overfit_test,0.0671632289886474,2000,4052,0.0,0.25,10,8,5,0.2,0.0001,0.9
63,01/04/2023 23:39:08,dsc_torch_nn_rms_overfit_test,0.0664541721343994,2000,4052,0.0,0.25,10,8,5,0.2,0.0001,0.9
64,01/04/2023 23:39:08,dsc_torch_nn_rms_overfit_test,0.0674653053283691,2000,4052,1.0,0.25,10,8,5,0.2,0.0001,0.9
65,01/04/2023 23:40:09,dsc_torch_nn_rms_overfit_test,0.0683724880218505,2000,4052,0.0,0.25,10,8,5,0.2,0.0001,0.9
66,01/04/2023 23:40:26,dsc_torch_nn_rms_overfit_test,0.0683903694152832,2000,4052,0.0,0.25,10,8,5,0.2,0.0001,0.9
67,01/04/2023 23:48:03,dsc_torch_nn_rms_overfit_test,0.0699846744537353,2000,4052,0.0,0.25,10,8,5,0.2,0.0001,0.9
68,01/04/2023 23:48:15,dsc_torch_nn_rms_overfit_test,0.0687320232391357,2000,4052,0.0,0.25,10,8,5,0.2,0.0001,0.9
69,01/04/2023 23:48:16,dsc_torch_nn_rms_overfit_test,0.0693516731262207,2000,4052,0.0,0.1875,10,8,5,0.2,0.0001,0.9
70,01/04/2023 23:48:17,dsc_torch_nn_rms_overfit_test,0.0684046745300293,2000,4052,0.0,0.25,10,8,5,0.2,0.0001,0.9
71,01/04/2023 23:48:17,dsc_torch_nn_rms_overfit_test,0.0678474903106689,2000,4052,0.0,0.25,10,8,5,0.2,0.0001,0.9
72,01/04/2023 23:48:19,dsc_torch_nn_rms_overfit_test,0.069812536239624,2000,4052,0.0,0.25,10,8,5,0.2,0.0001,0.9
73,01/04/2023 23:48:20,dsc_torch_nn_rms_overfit_test,0.0668056011199951,2000,4052,0.0,0.25,10,8,5,0.2,0.0001,0.9
74,01/04/2023 23:48:21,dsc_torch_nn_rms_overfit_test,0.0671322345733642,2000,4052,0.0,0.25,10,8,5,0.2,0.0001,0.9
75,01/04/2023 23:48:44,dsc_torch_nn_rms_overfit_test,0.0678458213806152,2000,4052,0.0,0.25,10,8,5,0.2,0.0001,0.9
76,01/04/2023 23:50:32,dsc_torch_nn_rms_overfit_test,0.0702509880065918,2000,4052,0.0,0.15625,10,8,5,0.2,0.0001,0.9
77,01/04/2023 23:50:33,dsc_torch_nn_rms_overfit_test,0.0670053958892822,2000,4052,0.0,0.25,10,8,5,0.2,0.0001,0.9
78,01/04/2023 23:50:34,dsc_torch_nn_rms_overfit_test,0.0668227672576904,2000,4052,1.0,0.25,10,8,5,0.2,0.0001,0.9
79,01/04/2023 23:50:34,dsc_torch_nn_rms_overfit_test,0.0680627822875976,2000,4052,0.0,0.25,10,8,5,0.2,0.0001,0.9
80,01/04/2023 23:50:35,dsc_torch_nn_rms_overfit_test,0.0662786960601806,2000,4052,0.0,0.25,10,8,5,0.2,0.0001,0.9
81,01/04/2023 23:53:15,dsc_torch_nn_rms_overfit_test,0.0604472160339355,2000,4052,1.0,0.25,10,7,4,0.2,0.0001,0.9
82,01/04/2023 23:53:19,dsc_torch_nn_rms_overfit_test,0.0608680248260498,2000,4052,0.0,0.25,10,7,4,0.2,0.0001,0.9
83,01/04/2023 23:53:19,dsc_torch_nn_rms_overfit_test,0.0568513870239257,2000,4052,1.0,0.25,10,7,4,0.2,0.0001,0.9
84,01/04/2023 23:53:20,dsc_torch_nn_rms_overfit_test,0.0593159198760986,2000,4052,0.0,0.25,10,7,4,0.2,0.0001,0.9
85,01/04/2023 23:53:21,dsc_torch_nn_rms_overfit_test,0.0568928718566894,2000,4052,0.0,0.25,10,7,4,0.2,0.0001,0.9
86,01/04/2023 23:53:21,dsc_torch_nn_rms_overfit_test,0.0574891567230224,2000,4052,0.0,0.25,10,7,4,0.2,0.0001,0.9
87,01/04/2023 23:53:22,dsc_torch_nn_rms_overfit_test,0.0575098991394043,2000,4052,0.0,0.5,10,7,4,0.2,0.0001,0.9
88,01/04/2023 23:53:22,dsc_torch_nn_rms_overfit_test,0.0578444004058837,2000,4052,0.0,0.25,10,7,4,0.2,0.0001,0.9
89,01/04/2023 23:53:22,dsc_torch_nn_rms_overfit_test,0.0593454837799072,2000,4052,1.0,0.25,10,7,4,0.2,0.0001,0.9
90,01/04/2023 23:53:23,dsc_torch_nn_rms_overfit_test,0.0610220432281494,2000,4052,0.0,0.25,10,7,4,0.2,0.0001,0.9
91,01/04/2023 23:53:23,dsc_torch_nn_rms_overfit_test,0.0588703155517578,2000,4052,0.0,0.25,10,7,4,0.2,0.0001,0.9
92,01/04/2023 23:53:24,dsc_torch_nn_rms_overfit_test,0.0598406791687011,2000,4052,0.0,0.25,10,7,4,0.2,0.0001,0.9
93,01/04/2023 23:53:24,dsc_torch_nn_rms_overfit_test,0.0588724613189697,2000,4052,0.0,0.25,10,7,4,0.2,0.0001,0.9
94,01/04/2023 23:53:25,dsc_torch_nn_rms_overfit_test,0.059868574142456,2000,4052,0.0,0.25,10,7,4,0.2,0.0001,0.9
95,01/04/2023 23:53:25,dsc_torch_nn_rms_overfit_test,0.0588812828063964,2000,4052,1.0,0.25,10,7,4,0.2,0.0001,0.9
96,01/04/2023 23:53:58,dsc_torch_nn_rms_overfit_test,3.8118622303009033,2000,4052,0.25,0.25,10,7,4,0.2,0.0001,0.9
97,01/04/2023 23:55:20,dsc_torch_nn_rms_overfit_test,3.739558935165405,2000,4052,0.25,0.25,10,7,4,0.2,0.0001,0.9
98,01/04/2023 23:56:10,dsc_torch_nn_rms_overfit_test,3.730301141738892,2000,4052,0.25,0.25,10,7,4,0.2,0.0001,0.9
99,01/04/2023 23:56:31,dsc_torch_nn_rms_overfit_test,3.730390310287476,2000,4052,0.25,0.25,10,7,4,0.2,0.0001,0.9
100,01/04/2023 23:59:34,dsc_torch_nn_rms_overfit_test,3.760984182357788,2000,4052,0.25,0.25,10,7,4,0.2,0.1,0.9
101,02/04/2023 00:00:09,dsc_torch_nn_rms_overfit_test,3.754436254501343,2000,4052,0.25,0.25,10,7,4,0.2,0.1,0.0
102,02/04/2023 00:00:21,dsc_torch_nn_rms_overfit_test,3.733847379684448,2000,4052,0.25,0.25,10,7,4,0.2,0.1,0.0
103,02/04/2023 00:07:14,dsc_torch_nn_rms_overfit_test,3.581250667572021,2000,4052,0.9894366455078124,1.0,10,7,4,0.2,1e-05,0.9
104,02/04/2023 00:59:57,dsc_torch_nn_rms_overfit_test,3.5935757160186768,2000,4052,0.9894366455078124,1.0,10,7,4,0.2,1e-05,0.9
105,02/04/2023 01:00:52,dsc_torch_nn_rms_overfit_test,1.5594730377197266,2000,4052,0.9894366455078124,1.0,10,7,0,0.2,1e-05,0.9
106,02/04/2023 01:01:27,dsc_torch_nn_rms_overfit_test,1.6319725513458252,2000,4052,0.8098591613769531,0.84375,10,7,0,0.2,1e-05,0.9
107,02/04/2023 01:02:24,dsc_torch_nn_rms_overfit_test,1.6801354885101318,2000,4052,0.9859154510498048,1.0,10,7,0,0.2,1e-05,0.9
108,02/04/2023 01:02:33,dsc_torch_nn_rms_overfit_test,1.5703985691070557,2000,4052,0.9894366455078124,1.0,10,7,0,0.2,1e-05,0.9
109,02/04/2023 01:05:47,dsc_torch_nn_rms_overfit_test,1.5417873859405518,2000,4052,0.9823943328857422,1.0,10,7,0,0.2,1e-05,0.9
110,02/04/2023 01:06:00,dsc_torch_nn_rms_overfit_test,1.5625765323638916,2000,4052,0.9859154510498048,1.0,10,7,0,0.2,1e-05,0.9
111,02/04/2023 01:12:12,dsc_torch_nn_rms_final,1.571392059326172,2000,4052,0.8274647521972657,0.84375,10,7,0,0.2,1e-05,0.9
112,02/04/2023 01:12:35,dsc_torch_nn_rms_final,2.589683771133423,2000,4052,0.7957746124267578,0.8125,10,7,2,0.2,1e-05,0.9
113,02/04/2023 01:12:45,dsc_torch_nn_rms_final,1.5647861957550049,2000,4052,0.7464788818359375,0.8125,10,7,0,0.2,1e-05,0.9
114,02/04/2023 01:12:50,dsc_torch_nn_rms_final,1.5608890056610107,2000,4052,0.7464788818359375,0.75,10,7,0,0.2,1e-05,0.9
115,02/04/2023 01:13:06,dsc_torch_nn_rms_final,6.208537340164185,2000,4052,0.8133802795410157,0.875,20,7,3,0.2,1e-05,0.9
116,02/04/2023 01:21:53,dsc_torch_nn_rms_no_hop,1.577680587768555,2000,4052,0.5416666793823243,0.625,20,7,3,0.2,1e-05,0.9
117,02/04/2023 01:22:14,dsc_torch_nn_rms_no_hop,5.207272052764893,2000,4052,0.7222222137451172,0.625,50,7,5,0.2,1e-05,0.9
118,02/04/2023 01:22:39,dsc_torch_nn_rms_no_hop,10.38722801208496,2000,4052,0.5,0.5,50,7,5,0.2,1e-05,0.9
119,02/04/2023 01:22:51,dsc_torch_nn_rms_no_hop,3.1254451274871826,2000,4052,0.798611068725586,0.75,20,7,3,0.2,1e-05,0.9
120,02/04/2023 01:23:15,dsc_torch_nn_rms_no_hop,3.130441904067993,2000,4052,0.6875,0.6875,20,6,3,0.2,1e-05,0.9
121,02/04/2023 01:23:27,dsc_torch_nn_rms_no_hop,3.117591857910156,2000,4052,0.8125,0.75,20,8,3,0.2,1e-05,0.9
122,02/04/2023 01:26:36,dsc_torch_nn_rms_no_hop,6.217235803604126,2000,4052,0.8345070648193359,0.84375,20,7,3,0.2,1e-05,0.9
123,02/04/2023 01:28:48,dsc_torch_nn_rms_exaggerated,6.261005401611328,2000,4052,0.992957763671875,1.0,20,7,3,0.2,1e-05,0.9
