,Left Stick X,LeftStickY,Right Stick X,Right Stick Y,Button South,Button West,L1,R1,R2,Gyroscope X,Gyroscope Y,Gyroscope Z,Accelerometer X,Accelerometer Y,Accelerometer Z
585,0.5968135,0.9973595,0.03670416,0.1217032,0.0,0.0,0.0,0.0,0.0,-0.3840741,-0.002748741,-0.2433885,-0.1940918,-0.2728271,-0.5136719
586,0.5801693,0.9962907,0.05560609,0.1861595,0.0,0.0,0.0,0.0,0.0,-0.5693206,0.04752021,-0.6142646,-0.2078857,-0.2277832,-0.4844971
587,0.5635635,0.9952292,0.07681223,0.2251393,0.0,0.0,0.0,0.0,0.0,-0.3970994,0.09130751,-0.6976458,-0.227417,-0.2458496,-0.4542236
588,0.5469962,0.9941757,0.09323563,0.262755,0.0,0.0,0.0,0.0,0.0,-0.097808,0.06966513,-0.3543233,-0.2641602,-0.2746582,-0.395874
589,0.5227324,1.0,0.1194988,0.3278557,0.0,0.0,0.0,0.0,0.0,0.03143101,0.211872,-0.6997018,-0.2744141,-0.3502197,-0.2631836
590,0.5149953,1.0,0.1667534,0.3956306,0.0,0.0,0.0,0.0,0.0,0.1776686,0.15293,-0.2951148,-0.2705078,-0.510498,-0.1636963
591,0.5149953,1.0,0.3622407,0.4985293,0.0,0.0,0.0,0.0,0.0,0.6397346,0.3930864,-0.3648464,-0.2753906,-0.7601318,-0.1240234
592,0.5149953,1.0,0.5392472,0.5769567,0.0,0.0,0.0,0.0,0.0,0.8158219,0.4129956,-0.1818536,-0.2429199,-0.8845215,-0.1092529
593,0.5149953,1.0,0.6853289,0.6156344,0.0,0.0,0.0,0.0,0.0,0.966299,0.4119417,-0.0654107,-0.1782227,-1.018311,-0.04870605
594,0.5149953,1.0,0.8775876,0.6472705,0.0,0.0,0.0,0.0,0.0,0.4664334,0.1889263,0.003921547,-0.1813965,-1.186523,-0.01184082
595,0.5149953,1.0,0.9663064,0.5288838,0.0,0.0,0.0,0.0,0.0,0.8418902,0.3615766,0.005632048,-0.1883545,-1.324951,-0.01074219
596,0.5149953,1.0,1.0,0.3847782,0.0,0.0,0.0,0.0,0.0,0.60241,0.3104893,-0.01783789,-0.2293701,-1.40271,-0.02502441
597,0.5154955,1.0,1.0,0.2324234,0.0,0.0,0.0,0.0,0.0,0.2733843,0.2344017,-0.1062062,-0.2593994,-1.360229,-0.06005859
598,0.5072563,1.0,1.0,0.1769445,0.0,0.0,0.0,0.0,0.0,0.000249886,0.1057016,-0.1656741,-0.2731934,-1.286499,-0.1929932
