,Left Stick X,LeftStickY,Right Stick X,Right Stick Y,Button South,Button West,L1,R1,R2,Gyroscope X,Gyroscope Y,Gyroscope Z,Accelerometer X,Accelerometer Y,Accelerometer Z
0,0.7707045,-0.8345971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05747836,-0.03923523,-0.07147308,0.0144043,-0.9903564,-0.1888428
1,0.7226405,-0.8743551,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03918457,-0.7276611,-0.2218018
2,0.6112997,-0.9628969,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.09765625,-1.069336,0.0123291
3,0.5072563,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.007247271,-0.02224163,-0.06447572,-0.05407715,-1.0979,0.1125488
4,0.4498426,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.04919434,-1.036255,-0.0291748
5,0.3847782,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.02709961,-0.9597168,-0.1206055
6,0.336352,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.05700684,-0.9407959,-0.1237793
7,0.2882255,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0001220703,-0.8896484,-0.09960938
8,0.2642672,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09071584,-0.005747836,0.021242,0.0423584,-0.7825928,-0.1405029
9,0.2642672,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009277344,-1.022339,-0.05175781
10,0.2642672,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07824707,-0.9852295,-0.07165527
11,0.3202776,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03998494,0.01024614,0.0592277,-0.1942139,-1.06311,-0.0177002
12,0.3766855,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2032471,-1.233276,0.04663086
13,0.5072563,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06115723,-1.143311,0.1694336
14,0.6923701,-0.9244941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2041016,-1.199585,0.06555176
15,0.8743551,-0.7226405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1636884,0.01074595,0.04473316,0.1014404,-0.9700928,-0.1090088
16,0.9752428,-0.5294175,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.004150391,-0.5726318,-0.230835
17,1.0,-0.2165419,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.02024238,0.01499435,0.04398344,-0.0402832,-1.003296,-0.1148682
18,1.0,-0.02745281,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.1628418,-0.9591064,-0.078125
19,1.0,0.2006854,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.04870605,-1.073486,-0.2272949
20,1.0,0.2802319,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0006919767,0.008073061,0.03828938,-0.06274414,-0.9407959,-0.2097168
21,1.0,0.3042357,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.05029297,-1.00354,-0.1202393
22,1.0,0.3524597,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.02856445,-1.043091,-0.05895996
23,1.0,0.433522,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.008666992,-0.9744873,-0.1173096
24,1.0,0.5392466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08788879,0.02214521,0.03690867,-0.05224609,-1.005737,-0.03552246
25,0.979558,0.5957312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07897949,-0.9381104,-0.1638184
26,0.9397725,0.6598403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1639404,-0.9368896,0.01000977
27,0.9081243,0.7080969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05722845,0.003998494,0.021242,-0.2773438,-1.12085,0.06469727
28,0.8918174,0.7238518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2666016,-1.149414,0.05883789
29,0.8836871,0.731741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.194458,-1.170166,0.1488037
30,0.8836871,0.731741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1057102,0.004748212,-0.0169936,-0.255249,-1.230103,0.05322266
31,0.8842907,0.7402433,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.09069824,-1.042114,0.03381348
32,0.8842907,0.7402433,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.01525879,-0.9822998,-0.168335
33,0.8842907,0.7402433,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.1094588,-0.01349492,-0.1117079,-0.1036377,-0.878418,-0.02978516
34,0.8842907,0.7402433,-0.03181135,0.02493322,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0246582,-1.035156,-0.02075195
35,0.8842907,0.7402433,-0.09764812,0.05148719,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.04553223,-0.9031982,-0.2508545
36,0.8842907,0.7402433,-0.1088355,0.02319446,0.0,0.0,0.0,0.0,1.0,0.02145317,-0.05213351,-0.1231827,-0.02514648,-0.9611816,-0.2631836
37,0.8842907,0.7402433,-0.1250818,-0.01731901,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0279541,-0.9661865,-0.1431885
38,0.8842907,0.7402433,-0.1547919,-0.1071636,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0802002,-0.8850098,-0.04919434
39,0.8842907,0.7402433,-0.2022516,-0.2315634,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.04016113,-0.7872314,-0.04260254
40,0.8842907,0.7402433,-0.2848522,-0.4888205,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0534668,-0.8342285,-0.08203125
41,0.8842907,0.7402433,-0.3313437,-0.5716589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005371094,-0.9232178,-0.1335449
42,0.8842907,0.7402433,-0.329629,-0.5542113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01025391,-1.133545,-0.08007813
43,0.8842907,0.7402433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1634521,-1.133423,0.05334473
44,0.8842907,0.7402433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1901855,-1.234985,0.104248
45,0.8842907,0.7402433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1881104,-1.168579,0.1016846
46,0.8842907,0.7402433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0682373,-1.045776,0.006835938
47,0.8842907,0.7402433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02224163,-0.0209921,0.008246895,-0.02319336,-0.9925537,-0.04541016
48,0.8842907,0.7402433,-0.02455354,0.01322114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01550293,-1.040649,0.05615234
49,0.8930173,0.740844,-0.2049975,0.182532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1138916,-1.036133,-0.002319336
50,0.8930173,0.740844,-0.3641675,0.5156034,0.0,0.0,0.0,0.0,1.0,-0.07427871,0.01245668,-0.02629743,-0.01049805,-0.9487305,-0.04003906
51,0.8930173,0.740844,-0.4120009,0.7893475,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.07104492,-1.118286,0.1501465
52,0.8930173,0.740844,-0.4575411,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1445313,-1.055176,-0.08093262
53,0.8930173,0.740844,-0.4821076,1.0,0.0,0.0,0.0,0.0,1.0,0.04290634,0.04382905,0.002768151,0.06872559,-0.9816895,-0.1403809
54,0.8930173,0.740844,-0.4821076,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.01416016,-0.9310303,-0.1119385
