,Left Stick X RMS,LeftStickY RMS,Right Stick X RMS,Right Stick Y RMS,Button South RMS,Button West RMS,L1 RMS,R1 RMS,R2 RMS,Gyroscope X RMS,Gyroscope Y RMS,Gyroscope Z RMS,Accelerometer X RMS,Accelerometer Y RMS,Accelerometer Z RMS
0,0.49320734,0.5806377,0.46613556,0.4871811,0.0,0.0,0.0,0.0,0.0,0.32219917,0.32553646,0.41281235,0.24447109,0.68308437,0.23510964
1,0.5514411,0.58734614,0.4756233,0.53614193,0.0,0.0,0.0,0.0,0.0,0.32447204,0.32756016,0.41319606,0.25445452,0.7343418,0.24395338
2,0.59574455,0.60737115,0.50988495,0.5648947,0.0,0.0,0.0,0.0,0.0,0.33238542,0.32993597,0.41378778,0.25802714,0.7663695,0.2550407
3,0.61076915,0.6258568,0.55191296,0.5736671,0.0,0.0,0.0,0.0,0.0,0.3328447,0.33117965,0.41502297,0.26133654,0.8017206,0.26913297
4,0.65892214,0.6319044,0.564377,0.5743096,0.0,0.0,0.0,0.0,0.0,0.41378337,0.33178714,0.4220517,0.2625338,0.86779606,0.28621963
5,0.6943061,0.65721387,0.6074685,0.5766634,0.0,0.0,0.0,0.0,0.0,0.49345246,0.35602027,0.44384056,0.2653565,0.8685824,0.31463605
6,0.71845984,0.68591905,0.6422412,0.58192056,0.0,0.0,0.0,0.0,0.0,0.53982097,0.369199,0.45226648,0.2848738,0.9195959,0.33415273
7,0.7401594,0.71409386,0.65468794,0.61287194,0.0,0.0,0.0,0.0,0.0,0.54293996,0.37536848,0.45565316,0.29954293,0.94332075,0.35204053
8,0.77426136,0.7227916,0.6962256,0.6265375,0.0,0.0,0.0,0.0,0.0,0.54401886,0.3837115,0.45918947,0.30096668,0.9668176,0.37092274
9,0.7729795,0.7171088,0.716634,0.60193807,0.0,0.0,0.0,0.0,0.0,0.5323662,0.363594,0.4130807,0.2994153,0.96656716,0.38174036
10,0.7816378,0.7103695,0.68574166,0.6462154,0.0,0.0,0.0,0.0,0.0,0.51057583,0.35940427,0.3878034,0.29005715,0.942998,0.37800536
11,0.7826617,0.70860815,0.69230676,0.62918586,0.0,0.0,0.0,0.0,0.0,0.46593884,0.33526567,0.3478572,0.28961402,0.94701666,0.37841487
12,0.80445266,0.6753419,0.70763195,0.60970443,0.0,0.0,0.0,0.0,0.0,0.469236,0.34459326,0.31617275,0.29388586,0.93117887,0.36892658
13,0.8071115,0.6769748,0.7139573,0.6057702,0.0,0.0,0.0,0.0,0.0,0.49066362,0.37065417,0.33593488,0.30195972,0.9408109,0.36785832
14,0.83045393,0.66987985,0.72411555,0.6408511,0.0,0.0,0.0,0.0,0.0,0.4812011,0.37891507,0.32868594,0.30697724,0.9388162,0.3557299
15,0.8296521,0.6606135,0.7017477,0.64630896,0.0,0.0,0.0,0.0,0.0,0.48016602,0.37594903,0.32269207,0.30172098,0.9405456,0.36766025
16,0.8223583,0.6698527,0.7049392,0.642639,0.0,0.0,0.0,0.0,0.0,0.48654643,0.37438443,0.3199463,0.29412168,0.94539285,0.37047705
17,0.8171916,0.6785779,0.7010953,0.64365834,0.0,0.0,0.0,0.0,0.0,0.5000384,0.45352402,0.37752128,0.2904651,0.92956805,0.376573
18,0.7910647,0.7040477,0.70344,0.6460794,0.0,0.0,0.0,0.0,0.0,0.498319,0.46601212,0.38887495,0.30244178,0.9207584,0.38888514
19,0.79356235,0.72383136,0.68088627,0.6710934,0.0,0.0,0.0,0.0,0.0,0.5037557,0.49099603,0.4013102,0.34456176,0.90972656,0.39774796
20,0.76889753,0.7549128,0.6913705,0.68671244,0.0,0.0,0.0,0.0,0.0,0.4416687,0.5204088,0.4095064,0.36065742,0.87324375,0.4107119
21,0.77702034,0.73941314,0.67180395,0.72019756,0.0,0.0,0.0,0.0,0.0,0.352336,0.5319765,0.39954856,0.37381753,0.8923044,0.3984952
22,0.7802269,0.7423058,0.6698012,0.74123746,0.0,0.0,0.0,0.0,0.0,0.28134316,0.5464471,0.424636,0.38570216,0.8575564,0.399747
23,0.7682568,0.7559888,0.68227017,0.74322957,0.0,0.0,0.0,0.0,0.0,0.34105265,0.57417166,0.47710788,0.3764425,0.87602884,0.39128178
24,0.7638155,0.7732072,0.68057257,0.7324518,0.0,0.0,0.0,0.0,0.0,0.35119486,0.5828465,0.48704728,0.38809964,0.8769112,0.37701467
25,0.7901357,0.7505875,0.6604476,0.75338954,0.0,0.0,0.0,0.0,0.0,0.34826195,0.58735114,0.5203608,0.3981047,0.87395626,0.36515918
26,0.8011375,0.7334134,0.690359,0.72962624,0.0,0.0,0.0,0.0,0.0,0.39846063,0.593826,0.5326463,0.39525914,0.89477724,0.36439553
27,0.7915605,0.73550266,0.66608167,0.73065686,0.0,0.0,0.0,0.0,0.0,0.48210788,0.59392816,0.55915934,0.39153215,0.8793863,0.3781249
28,0.76194215,0.77166504,0.64011306,0.7444679,0.0,0.0,0.0,0.0,0.0,0.55762833,0.5608089,0.56141645,0.38720036,0.89799607,0.37705246
29,0.7463392,0.7868195,0.607329,0.725256,0.0,0.0,0.0,0.0,0.0,0.5466836,0.540636,0.55080956,0.37551603,0.8947946,0.38350368
30,0.7165495,0.8161784,0.6324848,0.691835,0.0,0.0,0.0,0.0,0.0,0.55659676,0.53102183,0.5418277,0.36763605,0.9119168,0.38367727
31,0.7423714,0.7909393,0.6589848,0.6710886,0.0,0.0,0.0,0.0,0.0,0.55748874,0.52886075,0.545076,0.35787386,0.90644425,0.376132
32,0.76447064,0.7676776,0.6650274,0.6439491,0.0,0.0,0.0,0.0,0.0,0.5548522,0.524901,0.5427218,0.3557793,0.9112558,0.37551484
33,0.7473211,0.7829565,0.6939811,0.60633713,0.0,0.0,0.0,0.0,0.0,0.56009036,0.46536022,0.5135467,0.35674468,0.92077976,0.36972475
34,0.74733055,0.7850996,0.66999274,0.57817096,0.0,0.0,0.0,0.0,0.0,0.5604038,0.45385346,0.50902104,0.3493691,0.93101263,0.36752453
35,0.73684746,0.79236084,0.6713204,0.54255956,0.0,0.0,0.0,0.0,0.0,0.5571187,0.42616183,0.5000043,0.30950823,0.94739085,0.35885274
