,Left Stick X Mean,Left Stick X RMS,Left Stick Y Mean,Left Stick Y RMS,Right Stick X Mean,Right Stick X RMS,Right Stick Y Mean,Right Stick Y RMS,Button South Mean,Button South RMS,Button West Mean,Button West RMS,L1 Mean,L1 RMS,R1 Mean,R1 RMS,R2 Mean,R2 RMS,Gyroscope X Mean,Gyroscope X RMS,Gyroscope Y Mean,Gyroscope Y RMS,Gyroscope Z Mean,Gyroscope Z RMS,Accelerometer X Mean,Accelerometer X RMS,Accelerometer Y Mean,Accelerometer Y RMS,Accelerometer Z Mean,Accelerometer Z RMS
0,0.04326639441015627,0.51984954,-0.2570044550859375,0.54422426,-0.14298049499609375,0.4526845,-0.04422717927695313,0.4244071,0.05859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7109375,0.5466517,-0.00028713589062499996,0.06693981,-0.001723119917578125,0.020679371,-0.00025955012109374993,0.03220191,0.009795189807421875,0.06945156,-0.9189183716835938,0.66685027,-0.4022245417539062,0.31203106
1,-0.018765959300781246,0.5223884,-0.24575649146484374,0.572215,-0.09707293110937501,0.45368865,-0.02946824576132813,0.42612627,0.05859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7109375,0.5745243,0.00043410491210937483,0.06700168,-0.0014139485308593746,0.020827046,-0.00048180126171874977,0.032418046,0.010967016955859374,0.06985053,-0.9241580970742188,0.6877933,-0.39771318608984374,0.3186786
2,-0.07694822980859374,0.52273667,-0.22447500558593753,0.598899,-0.0887198182578125,0.45368865,0.00928900248085937,0.42612627,0.05859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71484375,0.60110575,0.0011324004785156247,0.067112,-0.0013221016167968749,0.021208495,-0.0007340625039062497,0.032738913,0.01022005153984375,0.07123917,-0.9254598636757813,0.70615286,-0.395964147359375,0.32804695
3,-0.1100826244765625,0.5242039,-0.18702476009765623,0.62444377,-0.1024184522421875,0.45369047,0.04421087728554689,0.4261263,0.05859375,0.13258252,0.0,0.0,0.0,0.0,0.0,0.0,0.69921875,0.60756946,0.0016375800292968744,0.06736697,-0.0012842595572265625,0.021308107,-0.0003256705703124998,0.03334834,0.008464813883593748,0.07163991,-0.9287059314492188,0.728718,-0.3877589721640625,0.33309957
4,-0.14429414533593748,0.5346269,-0.16240188658984378,0.64380133,-0.12358386021093748,0.45372272,0.040792906150781225,0.4261266,0.05859375,0.22097087,0.0,0.0,0.0,0.0,0.0,0.0,0.69921875,0.6327643,0.00032219735351562495,0.06780267,-0.0011672537486328122,0.02157515,-0.00046421781640624995,0.03378119,0.010880947682421876,0.07226356,-0.9302034378945313,0.74962693,-0.3808293368125,0.33852604
5,-0.2056523750234375,0.5450429,-0.16923647283984375,0.6618961,-0.10889346382421873,0.45560864,0.011159841697656256,0.4282515,0.05859375,0.24206147,0.0,0.0,0.0,0.0,0.0,0.0,0.693359375,0.6569936,0.00010175307617187442,0.06928209,-0.0016089174193359374,0.021630634,0.00020667120703125028,0.033988323,0.007571935877734376,0.07304556,-0.9242010148476563,0.76550454,-0.3721931003867187,0.3472067
6,-0.267830289671875,0.54806316,-0.17178293377734377,0.68448853,-0.07408165856640625,0.4592251,-0.013355490415624997,0.46164134,0.05859375,0.24206147,0.0,0.0,0.0,0.0,0.0,0.0,0.693359375,0.6803607,0.001163849953125,0.06987488,-0.0018889977435546873,0.021900013,-0.00041139473046874987,0.03475543,0.00556993556953125,0.07317343,-0.9192912595742188,0.78130233,-0.3757793927695312,0.3548609
7,-0.31497655998437496,0.5652516,-0.16090974588671877,0.6967515,-0.017706743722656265,0.46538827,-0.0396276867046875,0.49433059,0.05859375,0.24206147,0.0,0.0,0.0,0.0,0.0,0.0,0.6953125,0.7029514,0.0027071533730468745,0.07068151,-0.0015186367494140626,0.021913197,-0.0011842106289062498,0.034819156,0.004343987268749999,0.07425833,-0.9386498955507813,0.795046,-0.37241912173437497,0.3693787
8,-0.3574710781484375,0.5884276,-0.15302523026171877,0.70629513,0.03328533166796875,0.46993497,-0.06324564086484376,0.5179434,0.05859375,0.24206147,0.0,0.0,0.0,0.0,0.0,0.0,0.69140625,0.7029514,-0.0010419549296875,0.076721184,-0.0006600402064453125,0.021951605,-0.0018104642597656247,0.035465404,0.0028433807023437504,0.075899586,-0.9506683375,0.81271917,-0.3719301253085937,0.37878194
9,-0.39609903771875005,0.5922417,-0.14928288201953127,0.72797763,0.0752195589921875,0.47697732,-0.0623584359625,0.51934683,0.05859375,0.24206147,0.0,0.0,0.0,0.0,0.0,0.0,0.712890625,0.72078514,-0.0019510916484375002,0.0767382,-0.0007964440943359373,0.022392154,-0.002234188244726562,0.035471927,0.0025947101945312497,0.07778923,-0.9392066050781249,0.83095104,-0.37696886318359374,0.38473016
10,-0.42060237162499997,0.5973492,-0.14774809547656254,0.74635535,0.10583141545117188,0.4997446,-0.0775461323765625,0.52694535,0.05859375,0.24206147,0.0,0.0,0.0,0.0,0.0,0.0,0.69140625,0.73287743,-5.701201562500016e-05,0.076757245,0.00044680458261718743,0.022491343,-0.0013124345220703122,0.035705578,0.0016369823937500009,0.07828703,-0.9358077107421875,0.8465791,-0.3722465061523438,0.3889725
11,-0.42093800795312497,0.6153723,-0.12090742457812495,0.75150734,0.13708141545117192,0.5219968,-0.07950998099765624,0.5420073,0.05859375,0.24206147,0.0,0.0,0.0,0.0,0.0,0.0,0.71484375,0.74477345,-0.0004691447792968752,0.077684276,0.0005704641880859376,0.022562472,-0.0027706266998046877,0.035910998,0.004568815717968749,0.079290524,-0.9355661933593751,0.86377287,-0.37539363095703127,0.39385706
12,-0.42093800795312497,0.6185748,-0.1050146296171875,0.7713306,0.1695041632636719,0.53991836,-0.08398216826328125,0.5474278,0.05859375,0.24206147,0.0,0.0,0.0,0.0,0.0,0.0,0.71875,0.76546556,0.00018140643164062456,0.07777128,0.0008180229380859377,0.023107482,-0.0025435836177734377,0.036283307,0.010300875137890625,0.07950698,-0.9423821056640624,0.8797029,-0.3730058682617188,0.40288284
13,-0.433688316546875,0.62010765,-0.08225080774218749,0.7913285,0.22993453279492193,0.5403138,-0.08019738302890624,0.5487564,0.05859375,0.24206147,0.0,0.0,0.0,0.0,0.0,0.0,0.732421875,0.7856128,3.832310546874294e-06,0.07798254,0.0009879400552734374,0.02317914,-0.0031595618208984373,0.03641642,0.0117926602140625,0.08026543,-0.94078017265625,0.896761,-0.37247395634765623,0.40695506
14,-0.46827150754296876,0.6408663,-0.052781178660156275,0.79615796,0.28947508670117184,0.5519392,-0.0674756517984375,0.56610113,0.05859375,0.24206147,0.0,0.0,0.0,0.0,0.0,0.0,0.73828125,0.8052562,0.00040532068945312505,0.07802871,0.0013593821255859374,0.023739496,-0.0035063834810546875,0.036865514,0.01794242890546875,0.08247042,-0.9394092630859375,0.9096464,-0.3682723055664062,0.41447988
15,-0.5052833159414063,0.6572171,-0.01861780485156253,0.8066209,0.33397870349804687,0.5780827,-0.07836423756015624,0.5703121,0.05859375,0.24206147,0.0,0.0,0.0,0.0,0.0,0.0,0.74609375,0.8244316,-0.0006615075917968754,0.0780348,0.0014024115656249999,0.023791041,-0.0034653671138671874,0.03726868,0.021810770428906247,0.08328905,-0.939313654296875,0.92380375,-0.36664009228515626,0.42110136
16,-0.5428568137929688,0.6731292,0.015376401476562523,0.81770647,0.3663361639082031,0.60287285,-0.08628358892929688,0.57578474,0.05859375,0.24206147,0.0,0.0,0.0,0.0,0.0,0.0,0.740234375,0.8431711,0.0001997444394531251,0.078081496,0.0013482369503906248,0.023823053,-0.0037571765474609374,0.037787955,0.0273702148859375,0.08415291,-0.9414987623046875,0.9389825,-0.368312359921875,0.4279446
17,-0.5831620151601563,0.6733934,0.042901480765625014,0.81887364,0.4017505484785156,0.59226996,-0.09961017799179689,0.5691381,0.05859375,0.24206147,0.0,0.0,0.0,0.0,0.0,0.0,0.728515625,0.8431711,-0.00029588395117187503,0.07764058,0.0012548964171875,0.0239944,-0.0036167228755859373,0.03757499,0.03179240224335937,0.08248617,-0.9420650046875,0.9438523,-0.36767625875,0.42262182
18,-0.6158634467499999,0.6782943,0.0663132778359375,0.8148202,0.40280076293164063,0.5886554,-0.09356744273789062,0.5574425,0.05859375,0.24206147,0.0,0.0,0.0,0.0,0.0,0.0,0.71484375,0.8454843,-0.0004542565488281253,0.07844255,0.00080300884296875,0.024086123,-0.0033730284205078127,0.03767602,0.031447410522460945,0.08284909,-0.945396190625,0.94562954,-0.3643915659765625,0.42147166
19,-0.6398044476875,0.7005954,0.08611119072656252,0.7962703,0.4028281229667969,0.57349706,-0.0934440137845703,0.55157405,0.041015625,0.24206147,0.0,0.0,0.0,0.0,0.0,0.0,0.7265625,0.836193,-0.0006987928281250002,0.07628559,0.0006865227804687499,0.023409568,-0.0052586965845703125,0.037707128,0.03870773289941406,0.083090276,-0.9416155875000001,0.9482856,-0.367932796640625,0.4114973
20,-0.6524563830390625,0.7206183,0.10710013818750003,0.77781165,0.4033311526953125,0.55288446,-0.0933939523203125,0.5460184,0.009765625,0.24206147,0.0,0.0,0.0,0.0,0.0,0.0,0.72265625,0.836193,-0.0019891467734375005,0.07432509,0.0015653370968750002,0.02330312,-0.0071555285181640615,0.038039647,0.04759311647949219,0.08543042,-0.9383072943359375,0.94923455,-0.36851334566406246,0.40245858
21,-0.665021933234375,0.7211,0.12751123467187503,0.775438,0.4098313423242188,0.5444332,-0.08950561101757812,0.5203443,0.0,0.24206147,0.0,0.0,0.0,0.0,0.0,0.0,0.69921875,0.832682,-0.0007672161234375001,0.07416803,0.00275384545625,0.022941688,-0.008427626133398437,0.03765583,0.05707335435449219,0.08381017,-0.9357545466796875,0.9428152,-0.36486411070312497,0.39254808
22,-0.6882518561835937,0.72067076,0.1615580491445312,0.7744928,0.41671543345703127,0.5396307,-0.06573311414257813,0.4988608,0.0,0.24206147,0.0,0.0,0.0,0.0,0.0,0.0,0.69140625,0.832682,0.00096481836875,0.074997425,0.0031204352316406246,0.02323757,-0.008019718740820312,0.03664328,0.06918644893457032,0.0815802,-0.931307801953125,0.9377155,-0.3649849894140625,0.39627203
23,-0.6992795710273437,0.7078115,0.16761106127343747,0.78555524,0.41136639185546875,0.54973793,-0.06519149988476562,0.48866472,0.0,0.24206147,0.0,0.0,0.0,0.0,0.0,0.0,0.666015625,0.833854,0.0014297280562499998,0.07365011,0.004389090926953125,0.02224744,-0.006349999363867187,0.035659365,0.07535123812597656,0.08196044,-0.9354393568359375,0.95125765,-0.358366013046875,0.3926027
24,-0.6967363180976562,0.6958642,0.15514264230859376,0.7942775,0.43122519320312497,0.5663209,-0.05408003504101563,0.46400306,0.0,0.24206147,0.0,0.0,0.0,0.0,0.0,0.0,0.697265625,0.8315084,-0.0016913377835937502,0.066198274,0.005017382333203125,0.020448226,-0.0026534653404296873,0.03570764,0.08772540077636719,0.08143759,-0.9313073248046875,0.95935726,-0.35681819937500003,0.39237788
25,-0.6779840839765625,0.6895425,0.14279613410546876,0.7984953,0.45067626779296877,0.58766544,-0.05201210323632813,0.46154755,0.0,0.24206147,0.0,0.0,0.0,0.0,0.0,0.0,0.677734375,0.8443285,-0.0015567773734374997,0.058440454,0.0046062721964843754,0.02004744,-0.001676780066992187,0.035480745,0.0909714698544922,0.080332294,-0.9334223361328124,0.9462511,-0.35476923005859373,0.3958885
26,-0.6657410244726563,0.7026929,0.14351030832421874,0.7974304,0.49867031857421873,0.6136561,-0.013821623939453132,0.45458028,0.0,0.24206147,0.0,0.0,0.0,0.0,0.0,0.0,0.69140625,0.8315084,-0.001053624285546875,0.05632201,0.003924168544140625,0.016201586,-0.0024578023326171875,0.03217513,0.09915947892285155,0.07923781,-0.9318893056640625,0.9423785,-0.35817909255859376,0.39058417
27,-0.6704977623632813,0.70297444,0.15340667400000002,0.797764,0.5565387920117187,0.63861084,0.002719405826171875,0.4548787,0.0,0.24206147,0.0,0.0,0.0,0.0,0.0,0.0,0.6796875,0.8454843,-0.0003700516468749999,0.056253463,0.003562947472460937,0.015802309,-0.0016256661080078128,0.030376831,0.10332226708046875,0.07784001,-0.9318471027343749,0.94234294,-0.36130976697265627,0.39371455
28,-0.6923829631640624,0.7029745,0.16625971794531252,0.7943129,0.6079738677929687,0.6624127,0.01648712404882812,0.45503807,0.0,0.24206147,0.0,0.0,0.0,0.0,0.0,0.0,0.6796875,0.84779125,-0.0009126638343749998,0.056126356,0.0036292751091796874,0.015916489,-0.0014381777486328132,0.028707787,0.10666680274257813,0.0745816,-0.930534371875,0.94854283,-0.35831093806640624,0.3916798
29,-0.7233266246679687,0.7153544,0.1730395406015625,0.7793971,0.6224907607265625,0.66491205,0.013618303833984376,0.45115432,0.0,0.24206147,0.0,0.0,0.0,0.0,0.0,0.0,0.662109375,0.8558165,0.0005441135875000004,0.05610434,0.0035740338005859373,0.015900265,-0.0006504003853515629,0.02888222,0.10862708028750001,0.07455659,-0.9261541453125,0.94685006,-0.35776710544921875,0.39106268
30,-0.7126122584570312,0.73644423,0.15460552077734374,0.75933975,0.6244121142421875,0.6689754,0.010248106373046875,0.44341436,0.0,0.24206147,0.0,0.0,0.0,0.0,0.0,0.0,0.66015625,0.85923296,0.0022476346949218753,0.056865647,0.0032732670623046864,0.01667969,-0.0011567704595703133,0.029091392,0.11121916732265626,0.07307037,-0.9307291595703127,0.94535315,-0.35481977478515625,0.38808492
31,-0.6755598245820313,0.75665283,0.10139370398046872,0.7386769,0.6140432568203125,0.6865639,0.013959860552734373,0.4297915,0.0,0.24206147,0.0,0.0,0.0,0.0,0.0,0.0,0.6328125,0.8637672,0.0028744258765624996,0.05519752,0.004161244252734375,0.016559036,-0.00044433811386718723,0.027159808,0.11521601670546874,0.078430176,-0.937022694140625,0.9451149,-0.34525394451367186,0.38626444
32,-0.6305466849335938,0.7761298,0.04740776491796876,0.71739006,0.60309806365625,0.70887566,0.03792740426367188,0.43147677,0.0,0.24206147,0.0,0.0,0.0,0.0,0.0,0.0,0.626953125,0.8603687,0.0027945338550781247,0.053690847,0.003969127231249999,0.016541949,-0.0003081346861328123,0.025960423,0.11962604536953125,0.077051535,-0.9384641742187501,0.94720644,-0.3405184747675781,0.3872321
33,-0.5807109937226563,0.7943434,0.002214956910156246,0.6959967,0.5863828101757813,0.7299086,0.04330996016210938,0.4321777,0.0,0.24206147,0.0,0.0,0.0,0.0,0.0,0.0,0.599609375,0.85353124,0.0019197423902343755,0.05393692,0.0030644491453125002,0.016449898,-0.000911977334570312,0.026432192,0.11921787277773438,0.081503,-0.9391520111328124,0.9478166,-0.33177733398632814,0.38663864
34,-0.5568145915742188,0.8135523,-0.04102774621484376,0.67463255,0.5756626405664063,0.733592,0.038696924283203114,0.4397913,0.0,0.24206147,0.0,0.0,0.0,0.0,0.0,0.0,0.60546875,0.8454843,0.0012408757496093752,0.054167036,0.0008924586374999999,0.01685818,-0.002384849795507812,0.026047748,0.12254595781679686,0.08177428,-0.9352734166015625,0.95117664,-0.3328158852167969,0.38345242
