,Left Stick X,LeftStickY,Right Stick X,Right Stick Y,Gyroscope X,Gyroscope Y,Gyroscope Z,Accelerometer X,Accelerometer Y,Accelerometer Z
14204,-0.7636887,-0.7399471,0.0,0.0,0.02798946,-0.009746331,0.06047723,0.05981445,-1.072144,-0.1461182
14205,-0.7636887,-0.7399471,0.0,0.0,0.03098833,-0.002998871,0.08696726,0.02856445,-1.066162,-0.1658936
14206,-0.7636887,-0.7399471,0.0,0.0,0.0,0.0,0.0,0.01098633,-1.086792,-0.1580811
14207,-0.7636887,-0.7399471,0.0,0.0,0.0,0.0,0.0,-0.01123047,-1.074219,-0.1065674
14208,-0.7636887,-0.7399471,0.0,0.0,0.07146727,0.01249428,0.1494316,-0.05163574,-1.016846,-0.09741211
14209,-0.7636887,-0.7399471,0.0,0.0,0.0,0.0,0.0,-0.05969238,-0.9918213,-0.1242676
14210,-0.7551026,-0.7392889,0.0,0.0,0.0,0.0,0.0,-0.06201172,-0.9527588,-0.1643066
14211,-0.7551026,-0.7392889,0.0,0.0,0.0,0.0,0.0,-0.06054688,-0.9642334,-0.1682129
14212,-0.7399471,-0.7636887,0.0,0.0,0.0,0.0,0.0,-0.06811523,-0.9368896,-0.1650391
14213,-0.7163238,-0.7875604,0.0,0.0,-0.05282554,-0.0299883,0.0256054,-0.04199219,-0.8709717,-0.1573486
14214,-0.6928061,-0.8115728,0.0,0.0,0.0,0.0,0.0,-0.04833984,-0.8499756,-0.1350098
14215,-0.6693802,-0.8357351,0.0,0.0,0.0,0.0,0.0,-0.1369629,-0.9017334,-0.03137207
14216,-0.6292626,-0.858805,0.0,0.0,-0.03148814,0.04048476,0.003998494,-0.1134033,-0.9033203,0.2105713
14217,-0.6137788,-0.8751297,-0.08463278,0.1003784,0.0,0.0,0.0,0.009155273,-0.8347168,-0.1864014
14218,-0.5668602,-0.9156972,-0.2263689,0.2821859,0.0,0.0,0.0,0.0847168,-0.8712158,-0.5019531
14219,-0.5195622,-0.9479036,-0.3313983,0.3792289,0.0,0.0,0.0,-0.02648926,-0.9992676,-0.3416748
14220,-0.4959782,-0.9641817,-0.3687693,0.4249627,0.0,0.0,0.0,-0.0144043,-1.026855,-0.2358398
14221,-0.4560802,-0.9795809,-0.4222402,0.4727647,0.0,0.0,0.0,0.03186035,-1.026978,-0.2630615
14222,-0.4249173,-1.0,-0.439491,0.4830769,0.0,0.0,0.0,0.01525879,-1.027832,-0.2458496
14223,-0.4091095,-1.0,-0.4476562,0.484051,0.0,0.0,0.0,0.01831055,-1.039063,-0.2081299
14224,-0.3928797,-1.0,-0.4476562,0.484051,0.0,0.0,0.0,-0.05725098,-1.053955,-0.07666016
14225,-0.3766855,-1.0,-0.4426905,0.4426905,0.09395697,0.05972265,-0.01974096,0.003417969,-1.049194,-0.07629395
