,Left Stick X Mean,Left Stick X Var,Left Stick X RMS,LeftStickY Mean,LeftStickY Var,LeftStickY RMS,Right Stick X Mean,Right Stick X Var,Right Stick X RMS,Right Stick Y Mean,Right Stick Y Var,Right Stick Y RMS,Button South Mean,Button South Var,Button South RMS,Button West Mean,Button West Var,Button West RMS,L1 Mean,L1 Var,L1 RMS,R1 Mean,R1 Var,R1 RMS,R2 Mean,R2 Var,R2 RMS,Gyroscope X Mean,Gyroscope X Var,Gyroscope X RMS,Gyroscope Y Mean,Gyroscope Y Var,Gyroscope Y RMS,Gyroscope Z Mean,Gyroscope Z Var,Gyroscope Z RMS,Accelerometer X Mean,Accelerometer X Var,Accelerometer X RMS,Accelerometer Y Mean,Accelerometer Y Var,Accelerometer Y RMS,Accelerometer Z Mean,Accelerometer Z Var,Accelerometer Z RMS
322,0.36305927415625,0.5487711769940297,0.7507697,0.5271780416406251,0.2075098495222223,0.78382295,0.256581734765625,0.14970868465794596,0.43662113,0.01565151412109375,0.01213772477085667,0.12678112,0.05078125,0.0482025146484375,0.29973948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3984375,0.23968505859375,0.7234898,-0.0011345680406249998,0.0009376100714133867,0.038100276,0.0013522074609375,0.00027078268227883175,0.019827716,-0.00074101440625,0.0007631918240658278,0.031029355,0.16192531614453123,0.00319058424558981,0.15442142,-0.951129435546875,0.012486705316513384,0.96498334,-0.27960062376171874,0.011104379368109497,0.30316955
323,0.4277766446640625,0.482240903285558,0.7862206,0.5361599322656251,0.2124273526662974,0.75129133,0.256581734765625,0.14970868465794596,0.4646994,0.015651514121093748,0.012137724770856667,0.13112772,0.0234375,0.02288818359375,0.29973948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38671875,0.2371673583984375,0.7315437,-0.00119100655234375,0.0009791135021545692,0.037087303,0.0013772980703125,0.0003354769207034092,0.016451916,-0.0012406148749999999,0.0007882356489279892,0.030772548,0.16164016868359377,0.003270391334897277,0.15775171,-0.9557681046875,0.0117221603657824,0.96437013,-0.2759146721953125,0.012109775645954588,0.2990836
324,0.5421126848984376,0.38786615460824225,0.7879054,0.52054287875,0.20815936961296824,0.744669,0.256581734765625,0.14970868465794596,0.4645768,0.015651514121093748,0.012137724770856667,0.13111465,0.0,0.0,0.29973948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44140625,0.2465667724609375,0.73420876,-0.00226594940390625,0.0010913842378390227,0.034292463,0.0019254707265625001,0.0005011216810212263,0.014849256,-0.0010321603437499999,0.00079955497482662,0.03064735,0.16311788665234375,0.003478045493453959,0.16084658,-0.9543499847656249,0.01158328746719418,0.9612824,-0.27623510641406246,0.014573418107392629,0.2995086
325,0.5704240545468751,0.3904807380658081,0.78936785,0.50163324984375,0.19877139111241124,0.74062514,0.2564915171875,0.14975288924601873,0.46376964,0.015641023703125,0.012138024870147245,0.13091144,0.0,0.0,0.29973948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43359375,0.2455902099609375,0.72618437,-0.00171484873984375,0.00097251709494249,0.034051117,0.00167736730078125,0.0005161892856684913,0.014619831,0.00035440457812499997,0.00039747554555949753,0.030354967,0.16296100727734375,0.0033126721873537766,0.16438909,-0.9561982027343751,0.010967825124600108,0.9600433,-0.2747559571953125,0.014894214934019058,0.2988359
326,0.5516133348203125,0.4086511880644872,0.8218676,0.5016332498437501,0.19877139111241124,0.7039432,0.1656358040625,0.2028448339520712,0.50932246,-0.0027644566679687482,0.00912470315289679,0.13080524,0.0,0.0,0.29973948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40625,0.2412109375,0.7234898,-0.0005226941304687499,0.0010122410148696254,0.035864633,0.0005854603738281252,0.0005456948845470998,0.013665828,0.00010089094531250001,0.0004531795889619524,0.030782392,0.16205787739453126,0.004415450277003135,0.16847077,-0.955070965625,0.011348186760820066,0.9590397,-0.2735924746171875,0.016333559988754746,0.29922685
327,0.5684841348203125,0.4098558484780146,0.850977,0.495160103359375,0.19334857364501212,0.66692257,0.04632007125000001,0.2333696487107147,0.518606,-0.00880610330859375,0.008368002524137972,0.13326356,0.0,0.0,0.29973948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38671875,0.2371673583984375,0.72078514,-9.789635312499998e-05,0.0009354963468839383,0.03706479,0.0005055574988281247,0.0005403459366238018,0.014680936,0.00031872258593749987,0.0005235943509353837,0.030753007,0.16290521723828125,0.004445350742454014,0.17243299,-0.9544906480468751,0.011061180399550619,0.957545,-0.2743244203984375,0.016504519524520735,0.3012701
328,0.5898143641171876,0.4181012214543514,0.8391619,0.466373943203125,0.1821851761842903,0.67911017,0.03300010578125001,0.23236991517910013,0.518606,-0.011658495328124999,0.008082848994833613,0.13326356,0.0,0.0,0.29973948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40625,0.2412109375,0.69033504,0.0004751810648437498,0.0008869048788925286,0.037199315,-0.00022841400507812523,0.0005076854555841492,0.014748313,-9.495547265625016e-05,0.0005136050577343122,0.030410137,0.16283798372265626,0.004347786089247103,0.17327638,-0.956114282421875,0.010654580375209806,0.9597293,-0.27288580325,0.016655173445675433,0.30040625
329,0.5899946883359375,0.41824303516502725,0.8281971,0.44244333902343747,0.1971767007271813,0.69280726,0.018474858164062524,0.22943756363842743,0.4693723,-0.00880611303515625,0.007380218747845992,0.11496581,0.0,0.0,0.29973948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.421875,0.243896484375,0.646505,0.00012255886835937487,0.0007835284942687994,0.030755537,-0.00012275977070312503,0.0005290851868171528,0.014827934,-0.0002648064257812499,0.0005597143283074849,0.027296364,0.16297102114453127,0.0043402640009887845,0.17029284,-0.9547614925781249,0.010409849929233028,0.96025616,-0.275759223640625,0.01758824197995605,0.297095
330,0.5068232825546874,0.4809880774558626,0.82497466,0.4873742979296875,0.16768696514807443,0.6967256,-0.022495508320312496,0.19449600943544515,0.46426597,-0.01543949381640625,0.004833573678549589,0.11127755,0.0,0.0,0.22534695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44140625,0.2465667724609375,0.631219,-0.0006605591003906249,0.0008393250363119105,0.030641431,0.0003375714910156248,0.0005886131550428204,0.016510941,0.0003738868945312502,0.0006017351549730598,0.027635863,0.16141891491796873,0.003916098083985856,0.17149457,-0.95046185078125,0.009350620340980388,0.9576711,-0.279317859265625,0.01846094672816244,0.29879907
331,0.38319146107031243,0.5884274248330326,0.81561863,0.5190050601015626,0.13650284416392516,0.7070324,-0.053132634804687495,0.1644575043981623,0.46426594,-0.00798876393359375,0.00365277672715384,0.11127755,0.0,0.0,0.15309311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4296875,0.24505615234375,0.6218671,-0.000969542158984375,0.0008309326766546201,0.03131345,0.000383300991015625,0.0006006049831060098,0.01836774,0.0006731287421875001,0.0006214257011563158,0.028102932,0.16031646773046876,0.004008664289507807,0.17145826,-0.952542295703125,0.009185246019176894,0.96188086,-0.280438903015625,0.0184954578690547,0.29704994
