,Left Stick X,Left Stick Y,Right Stick X,Right Stick Y,Button South,Button West,L1,R1,R2,Gyroscope X,Gyroscope Y,Gyroscope Z,Accelerometer X,Accelerometer Y,Accelerometer Z
4978,-0.1682741,-0.2013773,0.6317409,0.6782494,0,0.0,0.0,0.0,0.0,0.0172421,-0.02923661,-0.0224897,0.02429199,-0.9541016,-0.3665771
4979,-0.05007552,-0.06152136,0.6310023,0.6697141,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0378418,-0.949585,-0.4077148
4980,0.0,0.0,0.6141486,0.6682246,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06311035,-0.9245605,-0.4609375
4981,0.0,0.0,0.5973511,0.6667209,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.112793,-0.9541016,-0.402832
4982,0.0,0.0,0.5889741,0.6659641,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01599121,-1.029663,-0.4112549
4983,0.0,0.0,0.5926905,0.7089043,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0880127,-1.106323,-0.3491211
4984,0.0,0.0,0.6003314,0.8043656,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05895996,-1.036133,-0.3468018
4985,0.0,0.0,0.6352481,0.9468793,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.02038574,-0.8088379,-0.3569336
4986,0.0,0.0,0.6280115,0.9640176,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.04125977,-0.854248,-0.3886719
4987,0.0,0.0,0.6040648,0.980105,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09033203,-0.8623047,-0.5179443
4988,0.0,0.0,0.5718616,0.995759,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1425781,-0.8598633,-0.6308594
4989,0.0,0.0,0.5557991,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2111816,-0.8328857,-0.6396484
4990,0.0,0.0,0.5557991,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2312012,-0.7850342,-0.6866455
4991,0.0,0.0,0.5557991,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1829834,-0.74646,-0.6958008
4992,0.0,0.0,0.5557991,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1796875,-0.7279053,-0.645752
4993,0.0,0.0,0.6280115,0.9640176,0,0.0,0.0,0.0,1.0,0.0569739,-0.08770983,-0.06047231,0.1499023,-0.6932373,-0.559082
4994,0.0,0.0,0.6640815,0.8788145,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1228027,-0.6959229,-0.5759277
4995,0.0,0.0,0.6526822,0.6295101,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1470947,-0.8900146,-0.4278564
4996,0.0,0.0,0.6298048,0.3912988,0,0.0,0.0,0.0,0.0,0.1245558,-0.06965899,-0.02214325,0.1231689,-0.8996582,-0.3769531
4997,0.0,0.0,0.6342404,0.252963,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09362793,-0.9559326,-0.4345703
4998,0.0,0.0,0.698452,0.129343,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04431152,-0.9732666,-0.262085
4999,0.0,0.0,0.7699232,0.06384729,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01867676,-0.9604492,-0.2667236
5000,0.0,0.0,0.9446741,-0.01943774,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05163574,-1.005249,-0.3282471
