Timestamp, Left Stick X, LeftStickY, Right Stick X, Right Stick Y, D-Pad Up, D-Pad Right,D-Pad Down, D-Pad Left, Button North, Button East, Button South, Button West, L1, R1, L2, R2, L3, R3,Gyroscope X, Gyroscope Y, Gyroscope Z, Accelerometer X, Accelerometer Y, Accelerometer Z,Touch 1, Touch 2, Touch 1 Pos X, Touch 1 Pos Y, Touch 2 Pos X, Touch 2 Pos Y
0,0.4060439,0.2382572,-0.06705618,0.1406017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8118697,0.05128367,-1.050874,0.09655762,-0.1737061,-0.4560547,0,0,0,0,0,0
0.01,0.4584133,0.3114411,-0.1391998,0.3309862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2181501,0.0189913,-0.5267587,0.1086426,-0.2333984,-0.4715576,0,0,0,0,0,0
0.02,0.4687296,0.3900117,-0.2152409,0.63113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01999084,0.04098123,-0.8773482,0.1931152,-0.3964844,-0.4602051,0,0,0,0,0,0
0.03,0.4737602,0.4303623,-0.2453219,0.9228778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2354114,0.01624388,-0.305385,0.2230225,-0.4595947,-0.4493408,0,0,0,0,0,0
0.04,0.3920242,0.4855345,-0.2483314,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9900835,-0.001499008,-0.3006266,0.4124756,-0.4023438,-0.5777588,0,0,0,0,0,0
0.05,0.2345186,0.5881004,-0.2324234,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.429652,-0.04573075,0.1374402,0.4189453,-0.6962891,-0.3723145,0,0,0,0,0,0
0.05999999,0.1144587,0.6978287,-0.1769445,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7207286,-0.05572902,0.3006368,0.3920898,-0.9146729,-0.3248291,0,0,0,0,0,0
0.06999999,-0.06631429,0.9635076,-0.09812176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.214007,-0.1810698,1.058548,0.2918701,-1.007446,-0.3286133,0,0,0,0,0,0
0.07999999,-0.1611441,1,-0.05884144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.070948,-0.2336893,1.490464,0.2570801,-0.9069824,-0.4963379,0,0,0,0,0,0
0.08999999,-0.1769445,1,-0.01176485,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4906548,-0.1702413,0.9215636,0.2342529,-0.8962402,-0.3988037,0,0,0,0,0,0
0.09999999,-0.2165419,1,0,0.8615917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9945845,-0.5502714,2.315785,0.2692871,-0.8120117,-0.2770996,0,0,0,0,0,0
0.11,-0.2802319,1,-0.07319336,0.5402367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8738866,-0.6892116,2.397749,0.185791,-0.9359131,-0.04125977,0,0,0,0,0,0
0.12,-0.3847782,1,-0.1579797,0.2134112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2539044,-0.4193421,1.173058,0.1072998,-1.132568,0.1889648,0,0,0,0,0,0
0.13,-0.540269,1,-0.2903684,0.1026555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1606109,-1.007941,2.045986,-0.02404785,-1.30249,0.2537842,0,0,0,0,0,0
