Timestamp, Left Stick X, LeftStickY, Right Stick X, Right Stick Y, D-Pad Up, D-Pad Right,D-Pad Down, D-Pad Left, Button North, Button East, Button South, Button West, L1, R1, L2, R2, L3, R3,Gyroscope X, Gyroscope Y, Gyroscope Z, Accelerometer X, Accelerometer Y, Accelerometer Z,Touch 1, Touch 2, Touch 1 Pos X, Touch 1 Pos Y, Touch 2 Pos X, Touch 2 Pos Y
0,0.06669273,1,0.9354231,0.01164427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1019287,-0.970459,0.2641602,0,0,0,0,0,0
0.01,0.06669273,1,0.6595572,0.0692353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01374483,-0.006997366,-0.02574031,-0.08813477,-1.033325,0.3133545,0,0,0,0,0,0
0.02,0.06669273,1,0.4781649,0.1051285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08898926,-1.081299,0.4197998,0,0,0,0,0,0
0.03,0.06669273,1,0.2814558,0.145172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1148682,-1.075806,0.3155518,0,0,0,0,0,0
0.04,0.06669273,1,0.2144159,0.1915448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.07666016,-1.039185,0.3122559,0,0,0,0,0,0
0.05,0.06669273,1,0.2219222,0.2969382,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.09729004,-0.9946289,0.2735596,0,0,0,0,0,0
0.05999999,0.06669273,1,0.2701963,0.4275257,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.04638672,-0.9384766,0.1781006,0,0,0,0,0,0
0.06999999,0.05884144,1,0.328751,0.5455098,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.08946632,-0.008246895,-0.01849304,-0.04248047,-0.9140625,0.135376,0,0,0,0,0,0
0.07999999,0.05884144,1,0.3617565,0.5663864,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.04882813,-0.9042969,0.1469727,0,0,0,0,0,0
0.08999999,0.05099206,1,0.3854558,0.5690063,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.05102539,-0.9500732,0.1065674,0,0,0,0,0,0
0.09999999,0.035298,1,0.3879321,0.5184513,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.01314872,-0.03160306,0.0002306792,-0.0715332,-0.9211426,0.1003418,0,0,0,0,0,0
0.11,0.01960851,1,0.3889874,0.4603613,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.07897949,-0.8824463,0.1745605,0,0,0,0,0,0
0.12,0.01176485,1,0.3688727,0.3688727,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.07704686,-0.007151056,0.006689698,-0.07910156,-0.8868408,0.199707,0,0,0,0,0,0
0.13,0.01176485,1,0.3348697,0.3017142,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.06616211,-0.901123,0.1723633,0,0,0,0,0,0
0.14,0.01176485,1,0.234405,0.182315,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.05822754,-0.9616699,0.1834717,0,0,0,0,0,0
0.15,0.01176485,1,0.1449016,0.09890108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05969238,-1.01355,0.1915283,0,0,0,0,0,0
0.16,0.01960851,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.09204102,-1.076538,0.2390137,0,0,0,0,0,0
0.17,0.05099206,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0958252,-1.129028,0.3145752,0,0,0,0,0,0
0.18,0.07454614,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.114624,-1.105469,0.3323975,0,0,0,0,0,0
